player,session,session_date,score,flag
Player 1,Agility,2021-08-02,7,Actual
Player 1,Agility,2021-08-03,8,Actual
Player 1,Agility,2021-08-04,8,Carried Over
Player 1,Agility,2021-08-05,8,Actual
Player 1,Agility,2021-08-06,8,Carried Over
Player 1,Agility,2021-08-09,8,Carried Over
Player 1,Agility,2021-08-10,8,Carried Over
Player 1,Agility,2021-08-11,8,Carried Over
Player 1,Agility,2021-08-12,8,Carried Over
Player 1,Agility,2021-08-13,8,Carried Over
Player 1,Agility,2021-08-16,8,Actual
Player 1,Agility,2021-08-17,8,Carried Over
Player 1,Agility,2021-08-18,8,Carried Over
Player 1,Agility,2021-08-19,8,Carried Over
Player 1,Agility,2021-08-20,3,Actual
Player 1,Agility,2021-08-23,6,Actual
Player 1,Agility,2021-08-24,6,Carried Over
Player 1,Agility,2021-08-25,7,Actual
Player 1,Agility,2021-08-26,7,Carried Over
Player 1,Agility,2021-08-27,7,Carried Over
Player 1,Agility,2021-08-30,9,Actual
Player 1,Agility,2021-08-31,5,Actual
Player 1,Agility,2021-09-01,6,Actual
Player 1,Agility,2021-09-02,6,Carried Over
Player 1,Agility,2021-09-03,6,Carried Over
Player 1,Agility,2021-09-06,9,Actual
Player 1,Agility,2021-09-07,9,Carried Over
Player 1,Agility,2021-09-08,3,Actual
Player 1,Agility,2021-09-09,3,Carried Over
Player 1,Agility,2021-09-10,5,Actual
Player 1,Agility,2021-09-13,4,Actual
Player 1,Agility,2021-09-14,4,Carried Over
Player 1,Agility,2021-09-15,3,Actual
Player 1,Agility,2021-09-16,3,Carried Over
Player 1,Agility,2021-09-17,3,Carried Over
Player 1,Agility,2021-09-20,3,Carried Over
Player 1,Agility,2021-09-21,3,Carried Over
Player 1,Agility,2021-09-22,3,Carried Over
Player 1,Agility,2021-09-23,4,Actual
Player 1,Agility,2021-09-24,7,Actual
Player 1,Agility,2021-09-27,7,Carried Over
Player 1,Agility,2021-09-28,7,Carried Over
Player 1,Agility,2021-09-29,7,Carried Over
Player 1,Agility,2021-09-30,4,Actual
Player 1,Agility,2021-10-01,10,Actual
Player 1,Agility,2021-10-04,10,Carried Over
Player 1,Agility,2021-10-05,10,Carried Over
Player 1,Agility,2021-10-06,10,Carried Over
Player 1,Agility,2021-10-07,10,Carried Over
Player 1,Agility,2021-10-08,9,Actual
