store,date,sales,profit
Dulwich,2022-09-01,1257,474
Wimbledon,2022-09-01,8782,924
Notting Hill,2022-09-01,2621,-851
Lewisham,2022-09-01,2888,197
Dulwich,2022-08-01,9042,-795
Wimbledon,2022-08-01,8556,284
Notting Hill,2022-08-01,5904,854
Lewisham,2022-08-01,7549,775
Dulwich,2022-10-01,6418,539
Wimbledon,2022-10-01,9679,-706
Notting Hill,2022-10-01,9385,656
Lewisham,2022-10-01,2672,-172
Dulwich,2022-06-01,4952,-330
Wimbledon,2022-06-01,4659,-394
Notting Hill,2022-06-01,1768,-918
Lewisham,2022-06-01,6893,877
Dulwich,2022-05-01,9073,-125
Wimbledon,2022-05-01,7592,-251
Notting Hill,2022-05-01,1896,630
Lewisham,2022-05-01,6130,-658
Dulwich,2022-04-01,5386,-301
Wimbledon,2022-04-01,5505,-87
Notting Hill,2022-04-01,5151,86
Lewisham,2022-04-01,7443,-17
Dulwich,2022-03-01,3230,760
Wimbledon,2022-03-01,4855,492
Notting Hill,2022-03-01,1048,563
Lewisham,2022-03-01,6262,-446
Dulwich,2022-02-01,4859,299
Wimbledon,2022-02-01,8531,27
Notting Hill,2022-02-01,5203,202
Lewisham,2022-02-01,5393,960
Dulwich,2022-01-01,9822,762
Wimbledon,2022-01-01,2263,444
Notting Hill,2022-01-01,6100,874
Lewisham,2022-01-01,2909,-129
Dulwich,2022-07-01,7273,574
Wimbledon,2022-07-01,4519,-680
Notting Hill,2022-07-01,8945,552
Lewisham,2022-07-01,4814,-340
