event_id,competitor,event,event_start_date,event_description,association,points,wins,losses,ties
71,Patrick Barrie,World Singles 71,2019-10-18,18 October 2019 · Cambridge · Cambridgeshire · England · UK · CB2 3AP,ETwA,25.000000,3,4,0
71,Larry Kahn,World Singles 71,2019-10-18,18 October 2019 · Cambridge · Cambridgeshire · England · UK · CB2 3AP,NATwA,24.000000,4,3,0
70,Patrick Barrie,World Singles 70,2017-04-28,"28 April 2017 · Emmanuel College, Patrick Barrie’s office · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",ETwA,25.000000,4,2,0
70,Larry Kahn,World Singles 70,2017-04-28,"28 April 2017 · Emmanuel College, Patrick Barrie’s office · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",NATwA,17.000000,2,4,0
69,Larry Kahn,World Singles 69,2016-04-29,"29 April 2016 · Emmanuel College, Patrick Barrie’s office · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",NATwA,28.000000,5,0,0
69,Patrick Barrie,World Singles 69,2016-04-29,"29 April 2016 · Emmanuel College, Patrick Barrie’s office · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",ETwA,7.000000,0,5,0
68,Larry Kahn,World Singles 68,2015-04-24,24 April 2015 · Emmanuel College · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP,NATwA,25.000000,4,3,0
68,Patrick Barrie,World Singles 68,2015-04-24,24 April 2015 · Emmanuel College · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP,ETwA,24.000000,3,4,0
67,Patrick Barrie,World Singles 67,2013-10-24,"24 October 2013 · Emmanuel College, Patrick Barrie’s office · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",ETwA,26.000000,3,4,0
67,Larry Kahn,World Singles 67,2013-10-24,"24 October 2013 · Emmanuel College, Patrick Barrie’s office · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",NATwA,23.000000,4,3,0
66,Larry Kahn,World Singles 66,2012-10-26,26 October 2012 · Cambridge · Cambridgeshire · England · UK,NATwA,28.500000,4,3,0
66,Patrick Barrie,World Singles 66,2012-10-26,26 October 2012 · Cambridge · Cambridgeshire · England · UK,ETwA,20.500000,3,4,0
65,Larry Kahn,World Singles 65,2011-10-28,28 October 2011 · Cambridge · Cambridgeshire · England · UK,NATwA,25.500000,4,2,0
65,Matt Fayers,World Singles 65,2011-10-28,28 October 2011 · Cambridge · Cambridgeshire · England · UK,ETwA,16.500000,2,4,0
64,Larry Kahn,World Singles 64,2010-09-02,2 September 2010 · Larry Kahn residence · 9412 Cello Court · Vienna · Virginia · USA · 22182,NATwA,26.000000,4,2,0
64,Matt Fayers,World Singles 64,2010-09-02,2 September 2010 · Larry Kahn residence · 9412 Cello Court · Vienna · Virginia · USA · 22182,ETwA,16.000000,2,4,0
63,Matt Fayers,World Singles 63,2010-03-20,"20 March 2010 · Emmanuel College, Patrick Barrie’s office · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",ETwA,26.000000,5,1,0
63,Patrick Barrie,World Singles 63,2010-03-20,"20 March 2010 · Emmanuel College, Patrick Barrie’s office · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP",ETwA,16.000000,1,5,0
62,Matt Fayers,World Singles 62,2009-10-09,9 October 2009 · Emmanuel College · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP,ETwA,27.500000,5,1,0
62,Matthew Rose,World Singles 62,2009-10-09,9 October 2009 · Emmanuel College · Saint Andrews Street · Cambridge · Cambridgeshire · England · UK · CB2 3AP,ETwA,14.500000,1,5,0
61,Matthew Rose,World Singles 61,2008-09-07,7 September 2008 · London · Greater London · England · UK,ETwA,28.000000,5,2,0
61,Andy Purvis,World Singles 61,2008-09-07,7 September 2008 · London · Greater London · England · UK,ETwA,21.000000,2,5,0
60,Andy Purvis,World Singles 60,2006-10-20,"20 October 2006 · Selwyn College, Stew Sage’s room, N1 on Cripps Court · Cranmer Road · Cambridge · Cambridgeshire · England · UK · CB3 9DQ",ETwA,29.000000,5,2,0
60,Larry Kahn,World Singles 60,2006-10-20,"20 October 2006 · Selwyn College, Stew Sage’s room, N1 on Cripps Court · Cranmer Road · Cambridge · Cambridgeshire · England · UK · CB3 9DQ",NATwA,20.000000,2,5,0
59,Andy Purvis,World Singles 59,2004-10-22,"22 October 2004 · Queens’ College, Erasmus Room · Silver Street · Cambridge · Cambridgeshire · England · UK · CB3 9ET",ETwA,30.333330,4,2,0
59,Larry Kahn,World Singles 59,2004-10-22,"22 October 2004 · Queens’ College, Erasmus Room · Silver Street · Cambridge · Cambridgeshire · England · UK · CB3 9ET",NATwA,11.500000,2,4,0
58,Larry Kahn,World Singles 58,2003-04-25,"25 April 2003 · Queens’ College, Old Kitchens · Silver Street · Cambridge · Cambridgeshire · England · UK · CB3 9ET",NATwA,25.500000,5,1,0
58,Matthew Rose,World Singles 58,2003-04-25,"25 April 2003 · Queens’ College, Old Kitchens · Silver Street · Cambridge · Cambridgeshire · England · UK · CB3 9ET",ETwA,16.500000,1,5,0
57,Matthew Rose,World Singles 57,2003-04-06,"6 April 2003 · Queens’ College, Erasmus Room · Silver Street · Cambridge · Cambridgeshire · England · UK · CB3 9ET",ETwA,26.000000,4,1,0
57,Patrick Barrie,World Singles 57,2003-04-06,"6 April 2003 · Queens’ College, Erasmus Room · Silver Street · Cambridge · Cambridgeshire · England · UK · CB3 9ET",ETwA,9.000000,1,4,0
